UID,PH,COND,TN,TP,VMMI,RFREQ_AC,XRCOV_AC,P_T
2812,#N/A,#N/A,#N/A,#N/A,67,0,0,968.96
3469,7.25,28540,0.871,205,80.5,0,0,480.07
3471,6.8,24280,2.806,208,78.8,0,0,755.52
3473,#N/A,#N/A,#N/A,#N/A,64,5.88,0.54,139.19
3562,#N/A,#N/A,#N/A,#N/A,82,0,0,563.26
3793,#N/A,#N/A,#N/A,#N/A,63.9,0,0,749.68
3980,#N/A,#N/A,#N/A,#N/A,66,0,0,771.13
3981,6.71,8192,1.498,123,49.4,7.69,9.2,643.95
3982,#N/A,#N/A,#N/A,#N/A,66.5,0,0,526.5
5059,#N/A,#N/A,#N/A,#N/A,57.9,15.28,10.29,404.52
5061,#N/A,#N/A,#N/A,#N/A,67,7.14,3.58,1589.25
5062,7.05,7211,1.75,117,50.9,10.71,22.11,1431.93
3569,6.91,44830,0.611,113,81,0,0,489.98
3575,7.56,13670,1.131,247,59.3,16.67,0.76,1192.66
3576,7.06,37300,1.588,118,82.3,0,0,327.69
3666,7.45,11600,3.144,923,50.9,25,34.08,1241.22
3667,7.17,7575,1.093,226,41.9,38.46,52.98,595.1
3694,#N/A,#N/A,#N/A,#N/A,40.6,37.5,54.25,912.71
3741,7.63,42630,1.118,50,65.5,0,0,581.3
3751,7.32,444.5,1.605,267,24.4,100,100,1276.04
3913,7.67,23770,14.6,2481,39.2,33.33,0.82,230.82
3914,7.28,1088,1.443,336,58.5,23.53,33.84,768.98
5372,7.7,10810,1.16,214,54.8,20,25.68,1423.22
5373,7.43,8170,1.42,206,57.6,21.62,42,1026.44
5375,7.02,45280,2.194,284,78.8,6.25,0.68,737.71
5377,8.07,41930,0.478,55,75,0,0,488.75
2668,#N/A,#N/A,#N/A,#N/A,27.5,26.32,92.91,45.09
2811,#N/A,#N/A,#N/A,#N/A,82.2,0,0,436.43
3695,#N/A,#N/A,#N/A,#N/A,76.8,0,0,296.48
3731,#N/A,#N/A,#N/A,#N/A,54.9,6.45,0.26,337.9
3732,7.85,51170,0.57,98,75,0,0,158.96
3733,#N/A,#N/A,#N/A,#N/A,75,0,0,364.28
3921,7.74,50790,0.435,0,55,0,0,51.68
4008,7.88,52970,0.627,38,75,0,0,443.52
4009,7.43,48650,0.461,50,55.4,0,0,413.65
4010,#N/A,#N/A,#N/A,#N/A,75,0,0,396.25
4502,#N/A,#N/A,#N/A,#N/A,74.5,0,0,466.83
4912,7.99,35880,0.609,72,85.6,0,0,201.8
4915,#N/A,#N/A,#N/A,#N/A,75,0,0,498.28
4916,7.73,53100,0.581,104,75,0,0,506.28
4917,#N/A,#N/A,#N/A,#N/A,77.4,0,0,215.61
4918,#N/A,#N/A,#N/A,#N/A,61.1,0,0,180.3
4927,8.03,46340,0.673,7,57.1,0,0,190.65
4929,7.33,19460,0.456,75,79.5,0,0,183.83
4964,7.74,55810,0.801,28,55,0,0,522.18
4966,8.02,32660,0.57,34,56.8,0,0,322.71
