uidplot,PH_CACL2,CLASS_FIELD_FWSST,BAHA,DISP,FICA4,ILVO,IPSA,JURO,KOVI,LYLI2,MOCE2,OSRE,PAVI2,PHAU7,QUVI,SALA,SADE10,BORO5,SMRO,SOSE,SPPA,TORA2,PITA,TYAN,SCAM6,JUVI,SPAL,IVFR,LICA17,PLOD,SPCY,AVGE,BAMA5,BOFR,SYTE6,ACER,CLADI,CYPER,DICHA2,ELEOC,EUPAT,RUBUS,SABAL
2812,4,E2EM,0,0,0.2,0,18.6,10.2,0,0,0.6,2.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,9,0.8,0,0,0.2,0,0
3469,3.9,E2EM,0,1,0,0,0,86,0,0,0,0,0,0,0,0,0.4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3471,4.4,E2EM,0,46,0.02,0,0.2,80,5.2,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.4,0,0,0
3562,4.7,E2EM,0,43,0,0,0,69,0,0,0,0,0,0,0,0,0,5,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
3793,5.2,E2EM,4.4,0,0,0,2,0,17,0,34,9.4,0,0,0,0.6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,21,82,2,0,0,0,0,0.2
3980,5.1,E2SS,3.8,0,0,0,0,0,4.4,0,19,9.4,0,0,0,0,0,0,1.2,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,17,89,2.6,0,0,0,1.2,0
3981,5.1,E2SS,40,0,0,1.4,0,0,3.4,0,31,10,1.8,0,0,3.8,0,0,4.4,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,6.2,1.8,0.6,0,0,2.6,12.4
3982,5,E2SS,13.4,0,0,0.4,0,0,12,0,26,6.8,0,0,0,0,0,0,0.2,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6,86,0.8,0,0,0,0.8,0
5059,4.4,E2SS,22,0,0,0,0,0,5.8,0,16,0.2,8,1.6,0,0.4,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,63,8.2,0,0,0,0.2,0.2
5061,5.4,E2SS,1.4,0,0,0.4,0,0,0,0,8.4,0.2,0,2.4,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0,0,71
5062,0,E2EM,13.4,0,0,0,0,0,7.2,0,0,0,0,0,0,7.8,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0.2
3569,5.4,E2EM,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,82,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3575,5.2,E2EM,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,0,15.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0
3576,4.8,E2EM,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,1.2,0,0,0,0,0,74,2.02,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3667,6.4,E2EM,0,0,0,0,0,0,0,0,0,0,0,33.4,0,0,0,0.02,0,0,0,0,0,0,0,0,29,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0
3694,5.3,E2EM,0,0,0,0,0,0,0,0,0,0,0.02,32.6,0,0,0,7,0,1,0,0,0,19.4,0,0,0,0,0,0,34.4,0,0,0,0,0,0,0.82,0,0,0,0,0
3741,6,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3751,5.4,E2EM,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3913,4.5,E2SS,0.22,0,0,0,0,0,0,0,1,0,0,0.04,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5372,6.9,E2EM,0,0,0,0,0,0,0,0,0,0,0,11.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0.4,14,0,0.4,9.4,0,0,0,0,0,0,0,0,0,0,0,0
5373,5.5,E2EM,0,0,0,0,0,0,0,0,0,0,1.4,34,0,0,0,0.6,0,0,22,0,0,4,3,0,1,0,0.4,0.02,22,0,0,0,0,0,0,0,0,0,0,0,0
5375,4.6,E2EM,0,28.02,0,0,0,0,0,0,0,0,0,0.6,0,0,0.08,0,0,0,4,0,0,0,0,0,55.8,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5377,4.7,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2668,6.9,E2EM,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2811,4.7,E2EM,0,0,0,0,0,60.2,0,0.8,0,0,0.2,0,0,13,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0
3695,7.2,E2EM,0,0,0,0,0,87.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0
3731,5.8,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,5.6,0,0,0,0,0.6,0,0.6,0,0,0
3732,5.5,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3733,5.8,E2EM,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4008,4.8,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4009,7.7,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0
4010,3.8,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4502,6.7,E2SS,0,0,0,2.84,0,0,0,0,0.02,0,0.44,0,2.02,0,0,0,0,0,0,0.4,0,0,0,26.6,0,0,0.04,0,0,0,0,0,0,0,41,0,0.02,0.02,0,0,12.6
4912,7.6,E2EM,0,2.02,0,0,0,89.2,0,0,0,0,0.02,0,0,0,0.06,0,0,0,0.2,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.02
4915,6.3,E2EM,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4916,6.5,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4917,5.6,E2EM,0,0,0,0,0,85.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4918,5.7,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.22,0,0,0,0,0,0,0,0,0
4927,8.1,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,81,0,0,0,0,0,0,0,0,0,0
4929,5.3,E2EM,0,0,0,0,0.02,33,0,0,0.2,0,0.02,0,0,0.62,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,41,0.02,0,0.02,0,0.02,0.2
4964,5,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0
4966,4.7,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0.4,0,0,0,0,0,0,0,0,0,0
4967,5.9,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.8,0.8,0,0,0,0,0,0,0,0,0,0
5378,8.3,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
5381,6.6,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4,0,0,0,0,0,0,0,0,0,0,0
5383,6,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5384,5,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,46,0,0,0,0,0,0,0,0,0,0
5385,6.4,E2EM,0,0,0,0,0,52.6,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,2.82,0,0.02,0,0,0,7.2,0.04,0,0,0,0,0,0,0,0,0
5387,6.7,E2EM,0,0,0,0,0,94.4,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,3.42,0.02,0,0,0,0,0,0,0,0,0
5679,6,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0.02,0,0,0,0,0,0,0,0,0,0
5682,5.6,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.02,0,0,0,0,0,0,0,0,0
5805,8.1,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,19.2,0.4,0,0,0,0,0,0,0,0,0,0
5807,7.1,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
5808,5.1,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
5810,5.3,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4,0.02,0,0,0,0,0,0,0,0,0,0
5811,6.7,E2EM,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4080,4.2,E2SS,0,0,0,0.2,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,0,0,0,21
4081,3.5,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4082,3.3,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4083,5.1,E2SS,0,3.2,5,0,0,90,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1.8,0,0
4084,4.8,E2SS,0.2,22.2,0.4,0.6,3.2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0.6,0,0,0,0,0,0,0,0,0.2,0,0,0,0
4970,7.3,E2EM,0,3.2,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4972,5,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4973,3.3,E2EM,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0.2,0,0,0,0,0,74.6,0.6,0,0,0,0,2.6,16,0,0,0,0,0,0,0,0,0
4974,3.6,E2SS,0,0,0,6.4,0,0,0,0,1.2,0,0,0,56,0,0,0,0,0,1.8,0,0,0,0,3.2,10,0.6,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
4975,5.9,E2SS,3.2,4,2.2,4,0.2,6,0,0,0,0,0,0,4,0,28.2,0,0,1.6,0,0,0,0,0,25,0,10,0.6,0,0,0,0,18,0,0,0,0,0,0,0.2,0,2
4976,5.3,E2SS,0,0,22.6,0,0,0.2,0,0,7,0,0.6,0,0,0,7.6,0,0,0,7.2,0,0,0,0,0,0,0.4,1.2,0,0,0,0,28,0,0,0,0.2,0,0,3.4,0,0.2
4977,3.6,E2SS,0,0,0,0,0,0,0,0,5,0,0.2,0,18,0,0,0,0,0,0,0.4,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1.4,0,0.4,0,30
4978,3.2,E2EM,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4979,3.5,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5276,6.4,E2SS,0,11,0,0,0,53,0,0,0,0,0,0,1,0,13.6,0,0,0,0,0,0,0,0,12,20,1,0.02,0,0,0,34,0,0,0,0,0,0,0,0,0,0
5411,4.3,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5413,5.7,E2EM,0,18,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5414,3.9,E2SS,0,0,0.2,3.4,0,13,0,0,2.4,0,1.8,0,25.2,0,0,0,0,0,0,0,0,0,0,0.2,2,0,0.2,0,0,0,0,1.4,0,0,0,0,1.6,0,0,0,14
5415,6.7,E2SS,0.2,6.4,2,3,0.2,18.2,0,0,1,0,0,0,10,0,1.8,0,0,0,18,0,0,0,0,4,0,1,0.6,0,0,0,5,8,0,0,0,0,0,0,0,0,7
5416,6.3,E2SS,0.4,3.6,0,0,0,28,0,0,0,0,0,0,0,0,23,0,0,0,2,0,0,0,0,2.2,0,0.6,1.2,0,0,0,0,22.6,0,0,0,0,0,0,0,0,0
5417,5.3,E2SS,0,0,0.6,0.2,0,0,0,0,0,0,5.8,0,46,0,0.4,0,0,0,4.2,0,0,0,0,2.8,0,2,0,0,0,0,0.2,9,0,0,0,1,1.4,0,0,0,0
5418,3.3,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
